term
nigger
nigga
kike
chink
gook
spic
wetback
beaner
paki
coon
jungle bunny
sand nigger
zipperhead
slope
nip
jap
dago
hebe
yid
frog
honky
cracker
redskin
kraut
wop
raghead
towelhead
christkiller
faggot
fag
dyke
queer
homo
poof
poofter
maricon
tranny
shemale
he-she
retard
mong
spaz
gimp
cripple
psycho
lunatic
imbecile
moron
gypo
gypsy
